Date,Travel Product,Sessions - This Year,Bookings - This Year,Revenue - This Year,Spend - This Year,Day of Month,Day of Week,Week,Month,Quarter,Year,Sessions - Last Year,Bookings - Last Year,Revenue - Last Year,Spend - Last Year,Category,Birst Category,GA Category
2017-01-30,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,30,0,5,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-29,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,29,0,5,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-28,CheapFlights Comparestrip Panel Flight,360.0,0.0,0.0,240.27,28,0,5,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-31,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,31,1,5,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-30,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,30,1,5,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-29,CheapFlights Comparestrip Panel Flight,432.0,0.0,0.0,283.03,29,1,5,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-01,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,1,2,5,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-31,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,31,2,5,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-30,CheapFlights Comparestrip Panel Flight,381.0,1.0,2118.0,240.65,30,2,5,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-02,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,2,3,5,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-01,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,1,3,5,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-31,CheapFlights Comparestrip Panel Flight,401.0,0.0,0.0,265.97,31,3,5,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-03,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,3,4,5,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-02,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,2,4,5,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-01,CheapFlights Comparestrip Panel Flight,369.0,1.0,2849.92,248.63,1,4,5,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-04,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,4,5,5,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-03,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,3,5,5,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-02,CheapFlights Comparestrip Panel Flight,353.0,0.0,0.0,217.02,2,5,5,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-01-29,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,29,6,5,1,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-01-28,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,28,6,5,1,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-01-27,CheapFlights Comparestrip Panel Flight,372.0,0.0,0.0,241.33,27,6,5,1,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-06,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,6,0,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-05,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,5,0,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-04,CheapFlights Comparestrip Panel Flight,418.0,1.0,2603.06,289.57,4,0,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-07,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,7,1,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-06,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,6,1,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-05,CheapFlights Comparestrip Panel Flight,446.0,0.0,0.0,319.2,5,1,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-08,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,8,2,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-07,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,7,2,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-06,CheapFlights Comparestrip Panel Flight,422.0,0.0,0.0,292.65,6,2,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-09,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,9,3,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-08,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,8,3,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-07,CheapFlights Comparestrip Panel Flight,381.0,0.0,0.0,254.68,7,3,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-10,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,10,4,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-09,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,9,4,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-08,CheapFlights Comparestrip Panel Flight,311.0,1.0,1933.06,207.35,8,4,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-11,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,11,5,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-10,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,10,5,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-09,CheapFlights Comparestrip Panel Flight,334.0,1.0,5353.29,219.31,9,5,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-05,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,5,6,6,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-04,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,4,6,6,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-03,CheapFlights Comparestrip Panel Flight,356.0,2.0,4936.49,218.86,3,6,6,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-13,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,13,0,7,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-12,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,12,0,7,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-11,CheapFlights Comparestrip Panel Flight,417.0,1.0,2327.92,282.01,11,0,7,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-14,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,14,1,7,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-13,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,13,1,7,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-12,CheapFlights Comparestrip Panel Flight,434.0,0.0,0.0,299.35,12,1,7,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2017-02-15,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,15,2,7,2,1,2017,,,,,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2018-02-14,CheapFlights Comparestrip Panel Flight,0.0,0.0,0.0,0.0,14,2,7,2,1,2018,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
2019-02-13,CheapFlights Comparestrip Panel Flight,425.0,2.0,3349.44,277.15,13,2,7,2,1,2019,0.0,0.0,0.0,0.0,Metasearch and Travel Ads,Travel,MetaSearch and Travel Ads
